,Cleaned GPT-35 Conversation-Improved CV
0,"Experienced artist with proficiency in Adobe Photoshop, Adobe Illustrator, graphic tablet usage, UI/UX design, Figma, Zeplin, Sketch, MarvelApp, Invision, 2D graphics (pixel and vector), 2D design, 3D Max, drawing by hand, and working in various styles. Skilled in creating design banners, layouts, logos, frameworks, prototypes for websites and mobile applications, testing games, and making presentations in Power Point. Proficient in bug tracking systems and project management tools such as Trello and Jira. Possesses a strong portfolio. Over 5 years of experience in the game industry with a desire to work on interesting projects and further develop skills. Seeking a position at a company with a friendly team, engaging projects, and competitive compensation."
1,"Skills:- Proficient in Adobe Photoshop, Adobe Illustrator, graphic tablet usage- Experienced in UI/UX design- Familiar with Figma, Zeplin, Sketch, MarvelApp, Invision- Knowledgeable in 2D graphics, including pixel and vector graphics- Skilled in 2D design and 3D Max- Ability to work in various artistic styles- Proficient in hand drawing- Proficient in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications- Experience in game testing- Proficient in creating presentations in Power Point- Portfolio available for review- Familiarity with bug tracking systems and project management tools such as Trello and JiraExperience:- Over 5 years of experience in the game industry- Self-motivated artist with a passion for bringing dreams to life- Goal-oriented individual looking to work on interesting projects, share experiences, and acquire new skills and knowledge- Seeking a position at a company with a friendly team, engaging projects, and competitive compensationEducation:- "
2,"As a web designer, I worked on various projects involving website redesign and UX/UI design. One project included redesigning the Children's Music School website to create a visually appealing and easy-to-navigate landing page. I conducted a thorough analysis of the existing site, created a detailed wireframe, and focused on color scheme and typography consistent with the school's brand. I ensured the page was user-friendly, accessible, and responsive on all devices.Additionally, I worked on the Pet-Saver-Hub project, focusing on creating a user-friendly interface for users to search for lost or found pets. Through user research, I identified key pain points and developed a user flow and wireframe with interactive elements like a map feature for easier pet finding.My experience has equipped me with skills in wireframing, visual design, user research, and responsive design. I am eager to grow in UI/UX design, collaborate with professionals, undertake challenging projects to unleash my creative potential, and stay updated on design technologies and trends. I value communication, teamwork, interact with users for feedback, and prioritize creativity and attention to detail for high-quality work."
3,"Over 50 WebsitesMore than 30 Logotypes4 Mobile Apps3 Games1 Social NetworkFacility, Kiev — Head of Design DepartmentMar 2018 - Present- Organising design team process and optimizing design flow for various project types- Developing concepts for websites, brands, and products- Creating UI/UX, animations, logo books, brand guidelines, and brandbooks- Leading tenders and offline company activities- Published on medium.com, mmr.ua, cases.media, vc.ru- Judged on CSSDA and Ukraine Creative Week, in the process of becoming an awwwards judge- Conducted educational lectures at Underhub co-workingKiev Smart City, Kiev- Worked on concept and final product visualization for Kiev Smart Card- Developed dynamic city ads conceptsMastercard, Kiev- Created illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev- Developed concept for brand activation program on Ukraine Independence Day 2018""Stampede Games"", Kiev- Worked on mobile games, developing visual concepts and UI- Created concept arts for the second part of the game- Games featured and ranked on top charts:  - Evo Explores  - .projekt"
4,"• Over 12 years of experience in design with a focus on UI/UX & brand design.• Successfully completed more than 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles.• Founded and managed own design studio with a team of 20 employees, overseeing sales, management, hiring, and project creation processes.• Taught UI/UX & brand design to over 150 students.• Presented at conferences such as Dribble.• Holds a Master's degree in “Engineering Design” and is currently studying for an MBA.• Proficient in frontend technologies such as HTML5, CSS3, TypeScript, and Vue.js, as well as backend technologies like Python and Swift.• Experience working in industries such as eCommerce, finance, banking, investments, marketing, social media, laws, education, development, NFT, art, auto, game design, construction, agriculture, food, coffee, fashion, beauty, service, music, dance, MMA, medicine, space, sports, technology, weapons, and insurance.• Worked with clients from the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.• Previous positions include roles as a UX Designer at Bank BVR, UI/UX Design Teacher at Hillel IT School, Lead Product Designer at Innovation Box, UI/UX & Brand Designer at Ardas, M2E pro, Forforce, Art. Lebedev Studio, as well as CEO & Designer at Own Design Studio."
5,"Digital Designer with 6+ years of experience specializing in UI design team management. Skilled in developing user-friendly websites with strong visual and brand storytelling. Proven track record of creating e-commerce, services, and corporate websites with user-centric solutions.Skills:- Strong understanding of user experience- Cross-functional experience working with developers- Exceptional problem-solving skills- Attention to detail and dedication to proper delivery- Collaborative mindset and interest in working with brand and marketing teamsTools:- Adobe (Photoshop, Illustrator, Invision, After Effect)- Sketch- Maxcon C4D- FigmaEXPERIENCEArt Director, UI Senior Designer | Freelance February 2019 - PresentUI Team Lead, UI Senior Designer | Intetics Inc.June 2018 - January 2019- Led and managed a UI team- Oversaw all web design projects from start to finish- Provided feedback and guidance to UX and UI designers- Worked with developers and QA to implement designs accurately- Designed wireframes, workflows, prototypes, sketches, and high-fidelity mockups- Presented and defended designs to stakeholders Art Director, UI Senior Designer | Vintage Web ProductionFebruary 2015 — May 2018- Developed and executed concepts- Created designs to evoke a ""WOW"" emotion- Provided initial designs and worked with developers for final project delivery- Mentored and motivated team members- Presented creative ideas to clientsUI Web Designer | Indigo Web DevelopmentOctober 2014 - February 2015- Executed design concepts- Assisted in long-term projects- Worked on services and eCommerce websites"
6,"Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer.Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.Last three jobs:1. Graphic designer & UI/UX designer at QA Madnessnov 2022 - now- Played a key role in the company's global redesign, making a significant impact on the final result.- Redesigned website to align with new vision and style.- Successfully implemented a fresh visual style for presentations.- Revamped all SMM materials for LinkedIn and Instagram, and created a page for DOU.Main achievement: integrated 3D designs into my work.2. Graphic Designer at Kronasaug 2020 - feb 2022- Designed logos, identities, and printing materials for new brands.- Developed 3-6 advertising key visuals monthly for various platforms.- Implemented a new visual style for the Instagram profile.- Created multi-page catalogs and brochures using InDesign.- Updated the company's YouTube channel design.Main achievements:• Designed and launched a sticker pack for Telegram and Viber.• Led the design of a new trade hall, including branding stands and navigation.3. Graphic Designer at Design Studio ToTopoct 2019 - aug 2020- Created designs for companies across different industries.- Designed logos, identities, and outdoor advertising.- Produced realistic product visualizations in Photoshop.- Produced various printing materials such as calendars, business cards, and postcards.- Developed multi-page catalogs and brochures.Main achievement: designed and launched a 16-page brochure within a single working day after client approval."
7,"Mase-15x Featured in Behance-Featured in LogoLounge Trends Report 2021-Featured in LogoLounge Book 12-Featured in World Logo & Mark Book (Japan 2020)-50+ Logo Contests won (2015-2018)Self-taught designer with 9+ years of experience in logo design, branding, 3D modeling, interfaces, and more. Successfully completed 50+ logo contests and have worked on various freelance projects for clients worldwide. - 3+ years of experience working in teams and agencies- Passionate about UI/UX design and neural network development- Strong skills in Adobe Illustrator, Photoshop, After Effects, Figma, Blender, and other design tools- Experience in logo animation, branding, typography, web design, and 3D modeling- Recent projects include branding for volunteer organizations, music platforms, crypto-based funds, and game studiosLooking to join a team to create innovative products and solutions, while constantly learning and expanding my skillset. Excited to collaborate with like-minded individuals who share my passion for creativity and problem-solving. Portfolio: Software and tools proficiency include Adobe Creative Suite, Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, and Gpt3."
8,"- Successfully built and led a team of designers, providing training and mentorship to trainees and junior staff members- Effectively communicated with clients throughout and after projects- Implemented structured processes and documented procedures from start to finish- Proactively adapted processes for continuous improvement- Demonstrated strong leadership by taking an individualized approach to team management, focusing on team and designer development- Conducted regular feedback sessions every three months and actively pursued personal projects- Experienced Lead UX/UI Designer with over 4 years in the field, skilled in problem analysis and innovative idea generation- Proficient in process structuring, documentation creation, and working collaboratively within a team- Committed to ongoing self-improvement through the integration of new knowledge into workflow- Specializes in landing page design, native and cross-platform app design, CRM systems, CMS interfaces, game interfaces, marketing materials, branding, logos, and illustrations- Demonstrated leadership qualities by creating a development matrix, providing training and mentorship, troubleshooting issues, and supporting team members' mental well-being- Passionate about creating user-friendly products and avoiding services with negative impacts on end-users' mental and financial well-being."
9,"EXPERIENCE:Website, Mobile, and Graphic Designer- Took personal part in the creation of more than 100 website designs, brand, and advertising projects- Commercial experience of over 6 years in various agencies- Extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applicationsSKILLS:- Graphic design for printed products, banners, illustrations, and icons- Web design (responsive, adaptive)- Mobile design for iOS and Android- Wireframes and interactive prototypes- Application of principles of atomic design- Understanding of user personas and user flows- Basic knowledge of HTML and CSSTOOLS:- Proficient in Figma (team libraries, auto layout, components properties, branches)- Excellent proficiency in Adobe Photoshop and Adobe Illustrator- Confident level in Adobe After EffectsOBJECTIVE:Seeking to join a strong team to work on interesting projects and bring artistic taste to contemporary design."
10,"I am a graphic designer currently pursuing my education at Kharkiv National University of Radio Electronics, specializing in Publishing and Printing at the Department of Media Systems and Technologies. I have also taken courses from Genius.Space in ""Web Design"" and ""UX/UI Design"". Attention to detail and the ability to structure information help me to create clear action plans, which is an important aspect of being a UX designer. Continuous learning and practice develop my skills related to visualization and graphic elements (UI).Soft skills: teamwork, empathy, enjoyment of work, punctuality and discipline.Graphic editors: figma, adobe illustrator, adobe photoshop, blender, autoCAD.I have experience in commercial projects, including creating a set of business cards for a tattoo artist who is currently working abroad. Additionally, I have worked on various projects including website designs, brochures, presentations, and logos."
11,"My design journey began 10 years ago at the College of Arts. I have had the opportunity to work with various clients from Europe and the USA, including an enterprise with over 250,000 employees and projects in e-Commerce and SaaS.I am well-versed in the lifecycle of IT products, development processes, and methodologies. I have experience leading creative teams, communicating directly with clients, eliciting requirements, providing design solutions, and defending and iterating on them.Key Skills:- Team Leadership- Project Management- Project Estimation- Resource Planning- Presentation to Clients- Client Communication- Business English- Enterprise Size Companies- Agile and Scrum- Art Direction- Prototyping- UI/UX Design- Information Architecture- UML Diagrams- User Testing- Mobile App Development- SaaS- Web Design- Graphic DesignI am seeking a company that offers challenging projects, a laid-back atmosphere, a flexible schedule focused on results. I excel at communicating with clients, leading design teams, and managing projects, particularly in mobile and complex web solutions. In return, I provide top-notch output that prioritizes both business and user needs."
12,"More than 30 successfully completed design projectsManaged a team of 17 designersPitched and launched over 20 design projects as a design consultant in sales processesCompleted ""Design Management"" courseCompleted ""People Management 3.0"" courseExperienced product designer and design team lead specializing in design team management. Responsible for planning, delegating, and reviewing team processes. Managed user research projects, facilitated workshops, handled reporting, conflict management, and played a role in sales processes as a domain expert.Possess a strong understanding of business goals, skilled in negotiating and presenting solutions. Fluent in English and proficient in written communication in German.Proven expertise in the following projects (detailed in portfolio):- Product design manager for a human resources project- Design manager for a crypto product- UI/UX Team Lead for a SaaS projectInvolved in various older/smaller projects in betting, healthcare, and delivery. Seeking to leverage management experience in delivery processes as a design delivery manager or assisting in establishing strong design teams for internal or external clients.Open to working in either an outsource company or a product team."
13,"• 8 Design Awards on Behance• Honorable mention in San Francisco Design Week• Ukrainian design The very best of• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP• In a team of just 3 people built a design system from scratchOver 6+ years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments. Experienced in designing for Web, Mobile, Dashboard, and Web applications.Responsibilities:• Generating hypotheses• Conducting research• Creating wireframes and prototypes• Conducting usability tests• Analyzing data• Creating design systems from scratch• Leading a design team• Collaborating with and managing other designers• Working independently• Providing design advice based on business needsProject stages:• Communicating with stakeholders and product manager• Conducting research• Creating functionality maps and process flows• Creating low/high fidelity wireframes• Conducting UI research and design• Leading a team of 8 peopleCollaboration and teamwork:• Mentoring lower-level designers• conducting 1on1 meetings to collect issue points and help define personal areas of improvement• Offering feedback and support to teammates"
