,Unnamed: 0,gpt-3.5-turbo Modified Google_UX Score,gpt-4o-2024-08-06 Modified Google_UX Score,UX True Label,Mixtral-8x7B-Instruct-v0.1 Modified Google_UX Score,Deepseek 67B Modified Google_UX Score,Claude 3.5 Sonnet Modified Google_UX Score,Meta-Llama-3-70B-Instruct-Turbo Modified Google_UX Score,GPT-4o-mini Improved Google_UX Score,Original Google_UX Score
0,0,83.495,86.384,1,78.319,84.58,86.898,78.319,87.979,82.881
1,1,85.067,83.072,1,79.563,84.58,86.263,79.563,84.216,82.922
2,2,85.517,85.636,1,80.517,86.31,84.609,80.517,86.833,79.112
3,3,79.623,83.234,1,80.924,83.375,89.192,80.924,85.031,82.617
4,4,86.69,85.325,1,77.857,87.087,85.401,77.857,85.416,84.019
5,5,87.344,90.218,1,79.302,87.931,88.232,79.302,91.403,87.614
6,6,82.824,85.091,1,77.334,86.113,86.256,77.334,88.124,82.021
7,7,83.001,84.49,1,80.064,83.569,83.675,80.064,84.506,82.078
8,8,88.169,86.034,1,82.473,89.461,86.884,82.473,86.508,84.91
9,9,87.561,81.564,1,80.508,87.317,84.507,80.508,83.94,84.396
10,10,85.222,84.876,1,82.417,84.626,86.75,82.417,85.024,85.532
11,11,87.23,83.14,1,76.065,87.871,82.193,76.065,83.022,78.96
12,12,85.638,86.03,1,80.809,87.523,85.96,80.809,88.01,86.718
13,13,87.007,89.577,1,77.81,87.455,87.104,77.81,86.87,87.795
14,14,86.761,86.261,1,78.173,87.599,87.233,78.173,85.31,82.868
15,15,84.328,85.452,1,79.063,84.785,80.838,79.063,80.612,86.06
16,16,84.678,83.035,1,76.509,84.509,85.041,76.509,83.032,81.747
17,17,81.8,89.292,1,79.123,83.963,87.817,79.123,88.419,86.568
18,18,87.309,85.686,1,79.085,87.18,87.823,79.085,87.488,83.318
19,19,82.364,85.775,1,77.31,85.092,84.418,77.31,84.491,82.975
20,20,82.652,85.458,1,75.885,86.043,86.281,75.885,86.735,85.882
21,21,82.964,85.207,1,77.105,86.133,87.192,77.105,86.353,79.138
22,22,79.679,85.66,1,79.266,84.305,87.081,79.266,87.599,85.22
23,23,83.815,87.463,1,78.078,83.917,86.058,78.078,87.876,86.401
24,24,84.411,84.879,1,80.864,86.942,87.739,80.864,86.273,84.217
25,25,88.328,88.695,1,77.506,90.467,88.258,77.506,87.574,85.154
26,26,81.816,84.445,1,78.949,85.644,86.647,78.949,86.048,86.226
27,27,82.137,88.426,1,80.046,85.094,86.779,80.046,87.362,83.4
28,28,83.31,86.068,1,80.146,86.714,86.368,80.146,86.719,83.009
29,29,83.871,86.458,1,80.842,85.715,86.798,80.842,86.925,86.893
30,30,83.353,86.458,1,80.842,86.289,86.347,80.842,87.914,86.893
31,31,79.036,78.935,0,78.814,84.461,77.071,78.814,77.644,79.181
32,32,84.308,80.413,0,80.857,85.802,81.091,80.857,79.453,78.716
33,33,88.53,83.89,0,77.666,87.512,81.598,77.666,82.684,83.21
34,34,84.865,77.084,0,82.171,87.116,77.853,82.171,76.695,76.772
35,35,80.929,79.884,0,81.23,86.078,77.606,81.23,78.309,78.73
36,36,82.457,82.661,0,83.893,85.404,81.554,83.893,81.423,81.843
37,37,86.738,78.827,0,73.489,87.116,76.505,73.489,76.439,77.525
38,38,85.309,78.485,0,82.208,87.635,78.79,82.208,78.19,79.081
39,39,83.718,77.437,0,76.497,83.691,78.629,76.497,77.278,77.939
40,40,86.455,81.801,0,84.464,86.566,79.925,84.464,83.215,80.533
41,41,81.703,81.137,0,82.062,84.779,80.574,82.062,81.128,82.487
42,42,86.607,82.208,0,79.323,85.895,82.971,79.323,80.966,81.524
43,43,85.954,79.895,0,77.706,86.782,79.785,77.706,79.964,76.757
44,44,85.367,82.639,0,78.529,85.588,79.418,78.529,80.574,79.591
45,45,86.319,79.96,0,80.556,87.373,79.553,80.556,78.636,79.365
46,46,84.61,78.439,0,77.892,84.35,77.373,77.892,75.64,75.297
47,47,85.422,78.702,0,75.626,88.834,78.299,75.626,78.753,77.562
48,48,86.964,81.497,0,82.515,86.009,80.44,82.515,78.252,79.848
49,49,82.052,80.211,0,79.692,87.155,78.805,79.692,81.233,79.045
50,50,76.22,79.987,0,77.357,79.861,81.956,77.357,82.201,79.82
51,51,79.173,82.265,0,83.071,80.167,81.853,83.071,80.782,80.863
52,52,81.453,78.865,0,82.814,82.865,81.035,82.814,80.984,80.198
53,53,75.915,79.94,0,83.534,77.416,79.678,83.534,81.709,80.466
54,54,78.752,78.691,0,80.113,79.131,77.926,80.113,78.137,78.434
55,55,79.154,79.413,0,80.846,82.305,79.667,80.846,80.235,79.826
56,56,77.47,79.33,0,80.571,79.711,78.72,80.571,79.483,79.471
57,57,76.674,77.96,0,77.692,80.388,77.186,77.692,79.893,77.39
58,58,78.045,80.805,0,84.427,80.226,81.195,84.427,78.52,80.539
59,59,81.668,77.242,0,81.815,81.643,78.207,81.815,77.427,78.231
60,60,80.209,84.285,1,79.418,79.527,85.342,79.418,84.287,84.209
61,61,83.74,83.479,1,78.813,80.301,85.784,78.813,84.442,84.209
62,62,77.975,87.623,1,75.603,80.026,85.434,75.603,87.711,85.607
63,63,80.282,82.527,1,71.722,80.707,84.552,71.722,81.958,80.387
64,64,77.239,88.454,1,79.407,77.464,86.139,79.407,85.786,88.592
65,65,74.795,87.173,1,79.663,77.06,87.484,79.663,86.514,85.647
66,66,78.906,84.539,1,79.61,80.278,84.561,79.61,86.281,84.062
67,67,78.116,82.414,1,78.167,79.735,84.512,78.167,82.752,82.276
68,68,79.328,89.077,1,81.566,79.128,88.045,81.566,88.886,88.742
69,69,80.655,86.0,1,78.827,82.079,86.831,78.827,84.513,84.935
70,70,82.526,79.551,0,83.586,83.055,78.71,83.586,78.058,78.982
71,71,80.731,82.429,0,82.356,80.401,81.106,82.356,81.309,80.316
72,72,81.043,80.186,0,81.984,83.136,80.402,81.984,80.395,80.333
73,73,76.519,77.955,0,73.606,80.46,79.774,73.606,78.015,77.049
74,74,79.333,79.915,0,77.696,79.197,77.285,77.696,80.203,79.743
75,75,78.967,80.296,0,80.703,80.262,79.5,80.703,80.219,80.593
76,76,77.428,76.372,0,75.847,79.229,76.795,75.847,75.597,74.234
77,77,80.478,78.109,0,83.036,79.169,78.079,83.036,77.97,78.321
78,78,77.522,76.873,0,80.553,78.504,74.513,80.553,75.277,75.865
79,79,78.926,79.596,0,80.684,82.253,77.887,80.684,78.858,78.548
80,80,78.036,83.169,1,76.212,81.246,85.938,76.212,83.521,86.397
81,81,75.941,88.793,1,81.501,80.386,87.583,81.501,89.052,87.32
82,82,75.97,86.38,1,85.36,78.783,83.577,85.36,87.515,85.039
83,83,75.651,88.204,1,83.141,77.506,87.28,83.141,87.472,86.066
84,84,80.252,86.787,1,79.388,82.579,84.455,79.388,86.643,87.86
85,85,80.169,85.322,1,78.6,79.458,85.66,78.6,86.438,84.459
86,86,78.648,83.843,1,81.005,78.286,84.15,81.005,84.114,83.081
87,87,79.986,81.966,1,77.831,79.982,82.605,77.831,83.145,83.438
88,88,81.319,86.149,1,81.826,80.36,85.565,81.826,89.16,85.679
89,89,79.813,87.583,1,78.619,78.903,86.486,78.619,86.607,84.887
90,90,81.778,77.737,0,80.534,80.942,79.478,80.534,81.679,77.884
91,91,78.813,79.989,0,81.37,80.685,79.752,81.37,80.429,80.193
92,92,77.703,79.814,0,80.914,79.368,79.152,80.914,80.193,77.577
93,93,78.233,76.444,0,80.675,77.819,77.221,80.675,77.169,76.603
94,94,79.751,75.943,0,78.52,81.694,78.631,78.52,76.412,76.121
95,95,75.178,80.115,0,81.995,78.645,81.862,81.995,82.486,80.135
96,96,77.816,78.475,0,79.74,78.943,78.186,79.74,79.69,78.658
97,97,75.857,79.833,0,82.986,78.277,77.803,82.986,78.921,78.275
98,98,79.911,80.268,0,80.129,78.815,81.924,80.129,81.1,80.374
