,CVDoorDash Score
0,82.031
1,80.423
2,80.823
3,78.568
4,76.06
5,78.697
6,77.467
7,76.224
8,83.437
9,79.979
10,79.706
11,80.099
12,81.65
13,77.461
14,78.127
15,80.984
16,75.482
17,79.429
18,80.426
19,78.545
20,78.659
21,76.695
22,80.098
23,80.914
24,79.556
25,77.586
26,79.801
27,80.576
28,80.151
29,81.411
30,81.411
31,84.02
32,78.753
33,78.047
34,80.2
35,82.275
36,81.813
37,72.684
38,82.953
39,75.122
40,79.49
41,82.145
42,77.294
43,77.803
44,81.062
45,79.93
46,79.006
47,78.149
48,80.306
49,82.156
50,77.328
51,81.13
52,78.274
53,81.436
54,81.637
55,81.369
56,78.668
57,81.307
58,83.532
59,82.702
60,78.009
61,78.009
62,77.359
63,76.957
64,78.456
65,81.739
66,78.834
67,77.836
68,80.946
69,78.917
70,80.558
71,82.792
72,84.901
73,79.51
74,82.553
75,83.35
76,76.679
77,79.645
78,80.626
79,80.179
80,77.007
81,80.946
82,83.88
83,80.852
84,82.694
85,78.953
86,79.948
87,76.477
88,80.344
89,80.609
90,78.003
91,83.212
92,81.222
93,81.245
94,78.863
95,79.373
96,76.503
97,83.182
98,81.416
99,80.28
