,Unnamed: 0.1,Unnamed: 0,Cleaned Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGeneral PM Score,Cleaned Twice Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGeneral PM Score,Cleaned claude-3-5-sonnet Conversation-Improved CVGeneral PM Score,Cleaned Twice claude-3-5-sonnet Conversation-Improved CVGeneral PM Score,CVGeneral PM Score,Cleaned GPT-4o Conversation-Improved CVGeneral PM Score,Cleaned Twice GPT-4o Conversation-Improved CVGeneral PM Score,Cleaned Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CVGeneral PM Score,True Label,Cleaned Deepseek 67B Conversation-Improved CVGeneral PM Score,Cleaned Twice Deepseek 67B Conversation-Improved CVGeneral PM Score,Cleaned GPT-35 Conversation-Improved CVGeneral PM Score,Cleaned Twice GPT-35 Conversation-Improved CVGeneral PM Score
0,0,0,80.231,80.087,80.796,81.807,82.437,81.572,81.275,79.749,0,81.307,82.761,79.966,79.966
1,1,1,78.206,76.947,78.243,79.958,80.79,79.16,78.061,78.617,0,81.307,82.761,81.291,81.291
2,2,2,78.898,79.321,81.19,80.846,80.484,81.511,80.51,82.286,0,78.908,78.776,77.029,77.146
3,3,3,79.987,79.642,79.263,79.443,78.355,78.701,80.244,79.851,0,80.752,80.122,75.287,74.717
4,4,4,76.08,75.431,77.221,78.284,76.107,77.447,75.681,75.519,0,78.782,78.782,77.315,77.315
5,5,5,82.27,81.294,80.841,80.774,78.787,80.732,82.541,81.636,0,80.586,80.796,82.314,82.314
6,6,6,77.935,78.357,80.58,79.639,77.653,79.526,79.241,78.818,0,78.865,77.573,78.448,78.521
7,7,7,77.916,78.293,79.861,81.582,77.351,78.94,80.028,79.182,0,77.912,76.994,77.013,77.013
8,8,8,84.799,84.946,82.57,82.422,83.527,82.709,83.889,84.176,0,81.088,81.262,83.948,83.948
9,9,9,80.883,82.271,80.794,80.575,80.946,79.779,79.204,79.949,0,79.294,79.85,78.908,78.073
10,10,10,77.751,77.995,80.241,82.004,79.646,82.839,80.667,81.278,0,77.977,77.885,78.454,77.459
11,11,11,80.291,80.165,82.595,81.216,79.151,82.205,80.604,74.378,0,81.68,81.68,81.995,81.893
12,12,12,81.349,81.003,78.583,79.057,81.944,81.357,81.247,80.362,0,85.724,85.724,85.386,85.386
13,13,13,79.593,79.94,78.228,78.548,78.152,79.092,80.521,79.376,0,81.253,81.253,80.066,80.781
14,14,14,77.076,78.474,80.398,80.371,78.869,81.736,79.751,78.497,0,83.65,83.471,82.037,82.122
15,15,15,80.896,80.339,78.29,77.992,81.638,82.154,80.983,80.082,0,77.941,77.057,79.423,79.478
16,16,16,78.122,77.741,76.668,77.94,76.8,76.464,74.125,74.733,0,79.615,79.824,80.075,80.075
17,17,17,79.114,79.434,77.897,79.506,80.087,80.136,81.356,78.39,0,79.663,79.666,78.531,78.531
18,18,18,79.203,79.435,80.685,81.458,80.109,81.469,80.189,79.914,0,79.458,79.458,78.692,78.692
19,19,19,77.237,77.56,80.069,81.852,78.46,79.638,77.707,75.701,0,80.283,80.283,78.47,78.888
20,20,20,78.562,77.711,77.729,78.647,78.701,76.845,75.272,75.375,0,79.819,77.847,81.542,81.009
21,21,21,80.186,78.121,79.591,80.164,76.593,78.644,78.691,76.12,0,78.393,78.569,77.915,77.915
22,22,22,78.879,79.905,80.165,81.307,79.396,79.229,80.165,78.66,0,81.317,80.087,80.408,80.408
23,23,23,79.047,79.68,79.111,79.06,81.003,79.854,78.906,76.54,0,79.309,77.932,77.31,77.875
24,24,24,77.919,78.413,80.222,79.788,78.702,78.895,78.142,79.551,0,75.842,74.441,74.18,74.18
25,25,25,78.243,78.02,78.329,80.329,78.024,81.291,80.989,77.757,0,80.835,81.331,81.981,81.543
26,26,26,77.282,77.064,79.655,81.664,80.033,78.674,77.358,76.886,0,79.02,77.203,78.12,76.64
27,27,27,80.355,79.824,80.23,80.528,81.823,81.553,81.682,81.366,0,76.836,76.374,77.455,77.686
28,28,28,79.87,78.697,79.746,79.779,80.425,77.888,78.757,79.254,0,83.395,82.361,82.419,83.666
29,29,29,79.251,79.809,79.4,81.324,81.05,78.792,80.696,79.246,0,81.461,81.294,79.546,79.546
30,30,30,79.251,79.809,79.733,80.11,81.05,78.792,80.696,79.246,0,79.187,78.851,81.808,81.808
31,31,31,82.672,82.025,80.616,83.421,82.907,82.897,81.744,82.139,1,80.825,80.876,78.573,78.573
32,32,32,85.954,86.719,85.406,85.29,79.632,81.234,88.483,84.37,1,80.654,78.562,78.641,79.293
33,33,33,80.411,80.171,79.332,78.816,77.8,77.038,79.576,77.821,1,78.773,79.52,79.757,80.838
34,34,34,88.675,88.857,86.554,86.957,80.09,81.005,87.213,85.127,1,77.863,76.504,77.895,78.192
35,35,35,82.83,83.472,83.2,82.199,82.719,81.498,82.622,83.774,1,79.494,80.195,79.199,79.349
36,36,36,85.842,85.738,87.279,84.909,81.895,81.504,84.862,85.853,1,76.843,76.843,74.588,74.588
37,37,37,79.244,79.516,75.239,75.504,72.602,75.185,76.488,72.53,1,78.129,76.283,77.331,77.399
38,38,38,87.098,87.455,86.753,85.557,83.378,82.998,86.237,86.747,1,79.091,77.118,78.604,78.604
39,39,39,76.685,76.383,74.277,74.319,73.226,72.822,74.07,74.829,1,78.526,77.748,78.673,78.673
40,40,40,85.963,86.823,84.357,84.623,80.688,80.5,84.675,85.688,1,77.87,77.87,75.595,76.495
41,41,41,89.287,89.91,90.684,89.79,83.008,83.535,90.555,87.676,1,78.072,76.871,79.364,79.413
