,UX True Label,Mixtral-8x7B-Instruct-v0.1 Modified Google_UX Score,Deepseek 67B Modified Google_UX Score,Claude 3.5 Sonnet Modified Google_UX Score,Meta-Llama-3-70B-Instruct-Turbo Modified Google_UX Score,gpt-3.5-turbo Modified Google_UX Score,gpt-4o-mini-2024-07-18 Modified Google_UX Score,gpt-4o-2024-08-06 Modified Google_UX Score
0,1,78.319,84.58,86.898,78.319,84.168,83.868,84.285
1,1,79.563,84.58,86.263,79.563,85.658,84.344,83.479
2,1,80.517,86.31,84.609,80.517,87.486,87.947,87.623
3,1,80.924,83.375,89.192,80.924,83.467,81.877,82.527
4,1,77.857,87.087,85.401,77.857,87.54,87.55,88.454
5,1,79.302,87.931,88.232,79.302,84.544,86.162,87.173
6,1,77.334,86.113,86.256,77.334,83.084,85.917,84.539
7,1,80.064,83.569,83.675,80.064,84.176,82.063,82.414
8,1,82.473,89.461,86.884,82.473,87.869,88.634,89.077
9,1,80.508,87.317,84.507,80.508,84.351,84.793,86.0
10,1,82.417,84.626,86.75,82.417,87.348,81.936,83.169
11,1,76.065,87.871,82.193,76.065,87.324,89.342,88.793
12,1,80.809,87.523,85.96,80.809,86.03,87.152,86.38
13,1,77.81,87.455,87.104,77.81,85.889,87.103,88.204
14,1,78.173,87.599,87.233,78.173,88.313,86.721,86.787
15,1,79.063,84.785,80.838,79.063,84.973,87.138,85.322
16,1,76.509,84.509,85.041,76.509,84.54,83.757,83.843
17,1,79.123,83.963,87.817,79.123,83.275,82.235,81.966
18,1,79.085,87.18,87.823,79.085,88.064,86.874,86.149
19,1,77.31,85.092,84.418,77.31,77.152,86.178,87.583
20,1,75.885,86.043,86.281,75.885,82.575,86.407,86.384
21,1,77.105,86.133,87.192,77.105,81.375,84.752,83.072
22,1,79.266,84.305,87.081,79.266,78.672,82.728,85.636
23,1,78.078,83.917,86.058,78.078,82.775,84.262,83.234
24,1,80.864,86.942,87.739,80.864,84.926,85.226,85.325
25,1,77.506,90.467,88.258,77.506,88.45,89.757,90.218
26,1,78.949,85.644,86.647,78.949,80.695,88.204,85.091
27,1,80.046,85.094,86.779,80.046,85.352,86.532,84.49
28,1,80.146,86.714,86.368,80.146,87.137,86.129,86.034
29,1,80.842,85.715,86.798,80.842,84.097,85.075,81.564
30,1,80.842,86.289,86.347,80.842,85.585,85.278,84.876
31,0,78.814,84.461,77.071,78.814,77.416,83.784,83.14
32,0,80.857,85.802,81.091,80.857,86.309,87.509,86.03
33,0,77.666,87.512,81.598,77.666,87.463,89.815,89.577
34,0,82.171,87.116,77.853,82.171,85.846,85.265,86.261
35,0,81.23,86.078,77.606,81.23,79.907,87.32,85.452
36,0,83.893,85.404,81.554,83.893,82.391,83.318,83.035
37,0,73.489,87.116,76.505,73.489,87.622,86.467,89.292
38,0,82.208,87.635,78.79,82.208,85.103,86.727,85.686
39,0,76.497,83.691,78.629,76.497,85.746,83.491,85.775
40,0,84.464,86.566,79.925,84.464,83.684,86.367,85.458
41,0,82.062,84.779,80.574,82.062,80.756,84.575,85.207
42,0,79.323,85.895,82.971,79.323,85.423,86.715,85.66
43,0,77.706,86.782,79.785,77.706,87.688,87.41,87.463
44,0,78.529,85.588,79.418,78.529,84.209,85.956,84.879
45,0,80.556,87.373,79.553,80.556,85.436,87.136,88.695
46,0,77.892,84.35,77.373,77.892,85.676,86.573,84.445
47,0,75.626,88.834,78.299,75.626,84.058,87.568,88.426
48,0,82.515,86.009,80.44,82.515,83.235,87.301,86.068
49,0,79.692,87.155,78.805,79.692,85.984,87.32,86.458
50,0,77.357,79.861,81.956,77.357,81.023,79.221,78.147
51,0,83.071,80.167,81.853,83.071,81.07,79.397,80.847
52,0,82.814,82.865,81.035,82.814,79.836,81.3,78.601
53,0,83.534,77.416,79.678,83.534,80.311,80.025,80.953
54,0,80.113,79.131,77.926,80.113,80.583,81.533,81.937
55,0,80.846,82.305,79.667,80.846,80.075,78.461,82.187
56,0,80.571,79.711,78.72,80.571,79.007,79.426,80.493
57,0,77.692,80.388,77.186,77.692,79.709,80.488,80.207
58,0,84.427,80.226,81.195,84.427,78.356,79.058,80.706
59,0,81.815,81.643,78.207,81.815,81.807,83.724,83.213
60,1,79.418,79.527,85.342,79.418,79.225,80.861,79.718
61,1,78.813,80.301,85.784,78.813,80.835,82.011,80.798
62,1,75.603,80.026,85.434,75.603,80.929,81.999,80.705
63,1,71.722,80.707,84.552,71.722,77.24,77.882,79.285
64,1,79.407,77.464,86.139,79.407,78.332,80.207,78.22
65,1,79.663,77.06,87.484,79.663,77.685,79.585,79.563
66,1,79.61,80.278,84.561,79.61,80.215,78.077,77.848
67,1,78.167,79.735,84.512,78.167,78.053,79.264,80.438
68,1,81.566,79.128,88.045,81.566,77.544,80.951,80.919
69,1,78.827,82.079,86.831,78.827,75.849,76.881,76.283
70,0,83.586,83.055,78.71,83.586,78.88,79.938,80.054
71,0,82.356,80.401,81.106,82.356,77.995,79.74,79.238
72,0,81.984,83.136,80.402,81.984,76.747,77.382,78.666
73,0,73.606,80.46,79.774,73.606,75.38,77.048,76.813
74,0,77.696,79.197,77.285,77.696,79.327,79.653,79.214
75,0,80.703,80.262,79.5,80.703,80.034,82.412,82.091
76,0,75.847,79.229,76.795,75.847,77.987,80.38,79.11
77,0,83.036,79.169,78.079,83.036,78.629,79.035,80.801
78,0,80.553,78.504,74.513,80.553,76.643,76.763,79.202
79,0,80.684,82.253,77.887,80.684,80.408,80.926,81.132
80,1,76.212,81.246,85.938,76.212,77.188,77.337,77.091
81,1,81.501,80.386,87.583,81.501,77.825,80.895,80.188
82,1,85.36,78.783,83.577,85.36,80.112,80.61,80.367
83,1,83.141,77.506,87.28,83.141,78.813,79.356,79.039
84,1,79.388,82.579,84.455,79.388,79.397,78.771,79.75
85,1,78.6,79.458,85.66,78.6,78.728,81.577,79.778
86,1,81.005,78.286,84.15,81.005,80.117,83.004,80.9
87,1,77.831,79.982,82.605,77.831,74.967,76.221,75.941
88,1,81.826,80.36,85.565,81.826,82.091,84.982,83.071
89,1,78.619,78.903,86.486,78.619,80.574,83.47,81.998
90,0,80.534,80.942,79.478,80.534,80.805,79.77,80.174
91,0,81.37,80.685,79.752,81.37,75.048,76.654,77.517
92,0,80.914,79.368,79.152,80.914,77.984,78.204,77.844
93,0,80.675,77.819,77.221,80.675,75.609,78.952,76.874
94,0,78.52,81.694,78.631,78.52,76.848,77.644,76.717
95,0,81.995,78.645,81.862,81.995,79.793,81.491,80.233
96,0,79.74,78.943,78.186,79.74,78.559,78.304,79.839
97,0,82.986,78.277,77.803,82.986,80.542,80.946,80.776
98,0,80.129,78.815,81.924,80.129,81.177,81.784,81.66
99,0,82.144,,80.019,82.144,81.47,81.206,82.498
