, Deepseek 67B Conversation-Improved CV Scalable PM Score, GPT-35 Conversation-Improved CV Scalable PM Score, GPT-4o Conversation-Improved CV Scalable PM Score, Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CV Scalable PM Score, Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV Scalable PM Score, claude-3-5-sonnet Conversation-Improved CV Scalable PM Score,True Label
0,78.973,78.1,80.888,78.319,80.036,80.873,0
1,78.973,79.949,78.971,79.563,78.221,79.425,0
2,78.267,77.308,81.317,80.517,79.216,80.481,0
3,80.714,77.437,81.587,80.924,81.13,80.928,0
4,79.001,79.667,77.755,77.857,77.651,77.41,0
5,80.249,81.948,81.901,79.302,80.966,79.645,0
6,79.934,78.173,81.034,77.334,77.124,79.996,0
7,79.942,79.161,80.817,80.064,78.274,82.168,0
8,79.942,81.337,83.129,82.473,83.424,82.626,0
9,78.874,80.146,79.227,80.508,79.195,80.156,0
10,75.974,78.528,82.287,82.417,79.263,81.529,0
11,80.789,81.831,79.881,76.065,79.355,80.021,0
12,86.813,85.504,81.266,80.809,81.694,80.688,0
13,82.019,82.678,79.799,77.81,79.044,79.324,0
14,81.204,81.319,78.529,78.173,76.855,79.597,0
15,78.846,79.762,81.276,79.063,79.401,78.191,0
16,81.444,81.575,75.664,76.509,78.266,77.775,0
17,79.298,78.511,81.65,79.123,79.16,79.032,0
18,82.463,81.646,80.095,79.085,78.739,79.73,0
19,80.459,78.482,79.615,77.31,77.896,81.713,0
20,80.132,79.489,76.975,75.885,78.275,78.5,0
21,78.492,78.661,80.143,77.105,78.895,79.79,0
22,80.54,80.262,81.631,79.266,80.402,81.357,0
23,80.605,79.497,79.703,78.078,79.755,79.855,0
24,77.581,76.452,80.732,80.864,78.855,81.922,0
25,79.826,78.553,80.636,77.506,77.898,77.933,0
26,78.781,76.95,78.654,78.949,78.626,80.742,0
27,78.481,79.583,81.49,80.046,78.867,79.994,0
28,83.602,80.908,79.664,80.146,81.206,81.529,0
29,80.093,78.499,80.928,80.842,80.239,81.595,0
30,80.216,81.876,80.928,80.842,80.239,81.899,0
31,80.951,77.219,79.963,78.814,79.14,78.069,0
32,79.945,80.717,83.63,80.857,80.768,83.608,0
33,78.743,79.728,76.175,77.666,77.257,77.852,0
34,77.344,77.847,82.34,82.171,82.493,83.87,0
35,78.456,79.05,81.293,81.23,80.79,81.029,0
36,77.442,76.058,82.464,83.893,83.895,84.459,0
37,78.707,78.043,75.793,73.489,77.74,74.648,0
38,79.08,78.128,82.37,82.208,81.282,81.01,0
39,77.359,79.1,74.465,76.497,77.222,76.402,0
40,77.063,75.931,84.829,84.464,83.976,83.477,0
41,77.2,78.671,84.204,82.062,83.008,84.183,0
42,80.56,79.961,79.209,79.323,77.99,78.642,0
43,79.332,78.417,80.299,77.706,79.545,81.08,0
44,79.39,77.859,81.631,78.529,80.449,79.57,0
45,78.273,78.152,81.703,80.556,81.082,81.816,0
46,79.318,77.621,80.467,77.892,80.552,80.223,0
47,80.501,80.207,78.429,75.626,80.43,79.703,0
48,79.961,82.671,83.565,82.515,82.303,83.459,0
49,82.065,77.513,80.607,79.692,83.417,80.958,0
50,79.581,78.03,77.944,77.357,76.897,79.471,1
51,82.462,81.955,84.625,83.071,82.012,84.565,1
52,76.308,77.499,82.649,82.814,83.652,82.802,1
53,81.667,80.164,81.734,83.534,83.818,81.832,1
